Customer_Tenure,Monthly_Spend,Num_Products,Has_Contract,Used_Support,Region_North,Region_South,Churn
55,112.66,3,1,0,0,0,0
51,143.5,4,1,0,0,1,0
7,28.48,2,0,1,0,1,1
16,35.64,1,1,0,1,0,0
13,55.04,2,0,0,0,0,1
19,86.63,3,1,0,0,0,0
46,145.06,4,1,0,0,0,0
13,69.94,3,1,0,0,0,0
48,103.34,4,1,0,1,0,0
3,48.62,1,0,1,0,0,1
30,95.91,3,0,0,0,1,0
30,138.68,4,1,0,1,0,0
28,97.52,2,0,1,0,0,1
41,141.29,4,1,0,1,0,0
11,44.63,1,1,1,1,0,1
52,116.91,4,1,0,0,1,0
26,142.73,4,1,0,0,1,0
17,77.89,3,1,0,0,0,0
17,32.55,1,0,0,1,0,0
14,31.95,1,0,0,1,0,1
42,138.15,4,1,1,1,0,0
57,111.51,4,1,0,1,0,0
57,97.28,4,1,0,1,0,0
27,121.4,3,0,0,0,1,0
45,127.75,4,1,0,0,1,0
12,39.17,1,1,0,0,0,0
34,106.78,3,1,0,0,0,0
28,100.38,4,0,0,0,1,0
54,132.82,3,0,0,1,0,0
41,83.09,4,1,0,1,0,0
30,86.46,4,1,0,0,0,0
26,66.0,3,1,0,0,1,0
24,84.83,3,1,1,0,0,0
51,117.59,4,0,0,0,0,0
4,46.02,1,0,1,0,0,1
1,33.64,1,0,0,0,0,1
14,52.75,2,0,0,0,1,1
15,58.29,2,0,1,1,0,1
60,138.03,4,0,1,0,0,1
5,21.75,1,0,1,0,1,1
36,149.96,4,1,0,1,0,0
10,58.11,2,0,0,0,1,1
57,112.42,4,1,0,0,1,0
19,89.93,3,0,0,0,0,0
37,141.01,4,1,0,0,1,0
12,46.78,1,0,0,1,0,1
10,34.52,1,0,0,0,0,1
17,30.23,1,0,1,0,0,1
21,89.01,2,1,0,0,1,0
17,76.26,3,0,0,1,0,0
28,67.12,3,1,0,0,1,0
27,87.31,3,1,0,0,1,0
35,125.2,4,1,1,1,0,1
36,81.71,4,1,0,1,0,0
32,89.19,3,0,0,0,0,0
28,85.15,3,0,0,0,1,0
10,44.66,1,0,0,0,1,1
12,58.55,1,1,1,1,0,1
2,25.99,1,0,1,0,1,1
33,95.27,3,0,0,0,0,0
34,94.07,3,0,1,1,0,1
32,71.21,3,0,1,1,0,1
1,41.02,2,0,0,0,1,1
1,43.73,1,0,0,0,0,1
34,98.9,2,1,0,0,1,1
8,36.74,1,0,0,1,0,1
5,32.08,1,0,1,1,0,1
28,121.91,4,1,0,0,0,0
46,111.04,3,1,0,1,0,0
11,25.74,1,0,1,0,1,1
16,56.24,2,0,0,0,1,0
32,58.3,3,1,0,1,0,0
31,70.2,3,0,1,0,0,0
10,51.74,1,0,0,0,0,1
30,74.81,3,1,0,0,1,0
34,130.39,4,0,0,1,0,0
29,87.93,2,1,0,1,0,1
24,82.93,3,1,1,0,1,0
13,28.47,1,1,1,0,1,1
15,88.16,2,1,0,1,0,1
53,111.53,3,1,1,1,0,0
14,33.84,1,0,1,1,0,1
5,20.59,2,0,1,0,0,1
17,92.35,2,1,0,0,0,0
13,87.92,2,0,1,0,0,1
7,37.54,2,1,1,1,0,0
13,62.92,3,1,1,0,0,0
23,53.85,3,0,0,1,0,0
15,92.24,3,0,0,0,1,0
13,93.32,2,0,0,0,0,1
46,92.03,3,1,0,1,0,0
14,58.06,2,0,1,0,1,1
4,43.24,1,0,1,1,0,1
33,93.02,3,1,0,1,0,0
26,131.09,3,1,0,0,1,0
4,46.23,1,1,0,0,1,0
11,26.15,2,1,0,0,0,1
12,36.2,2,1,1,0,1,0
28,101.92,4,1,0,0,1,0
5,44.34,2,0,0,1,0,1
26,81.31,3,1,1,1,0,0
23,98.98,3,0,0,0,0,1
44,105.9,4,1,0,1,0,0
33,126.39,3,1,0,0,1,1
4,27.59,1,0,1,1,0,1
6,46.82,1,0,1,0,0,1
15,42.12,1,0,0,0,0,1
44,148.42,4,0,0,1,0,0
3,25.84,1,0,0,1,0,1
26,66.15,3,0,0,0,1,0
15,48.97,1,0,0,0,1,0
32,82.36,4,1,1,1,0,0
16,64.14,3,1,0,0,0,0
14,33.14,2,0,1,1,0,0
11,43.72,1,0,0,0,0,1
11,28.94,1,0,1,0,1,1
31,87.71,2,1,0,1,0,0
16,24.13,2,0,0,0,1,1
4,44.07,2,0,1,0,1,1
44,143.02,4,1,0,1,0,0
32,76.57,2,1,0,0,1,0
57,140.61,4,1,0,1,0,0
49,126.68,4,1,0,1,0,0
3,35.89,1,0,1,1,0,1
17,37.95,2,0,0,0,1,1
41,86.56,3,0,1,1,0,1
29,130.62,4,1,0,0,1,0
19,65.76,3,0,1,0,1,1
39,94.51,3,1,0,0,1,0
8,39.38,1,0,0,0,0,0
57,105.36,4,1,0,0,0,0
